Date,Open,High,Low,Close,Adj Close,Volume
2013-09-27,3.980288,3.987870,3.896892,3.957544,3.957544,220600
2013-09-30,3.919636,4.018196,3.912055,3.987870,3.987870,159400
2013-10-01,3.995451,3.995451,3.912055,3.987870,3.987870,233400
2013-10-02,3.949962,4.048522,3.927217,3.934799,3.934799,129500
2013-10-03,3.919636,3.934799,3.851403,3.889310,3.889310,231800
2013-10-04,3.881729,4.003033,3.851403,3.858984,3.858984,95800
2013-10-07,3.843821,3.881729,3.768006,3.828658,3.828658,227700
2013-10-08,3.843821,3.874147,3.760425,3.768006,3.768006,173800
2013-10-09,3.790751,3.805914,3.730098,3.760425,3.760425,91500
2013-10-10,3.798332,3.912055,3.730098,3.775588,3.775588,80700
2013-10-11,3.768006,3.889310,3.768006,3.821077,3.821077,145000
2013-10-14,3.805914,3.919636,3.805914,3.851403,3.851403,62600
2013-10-15,3.828658,3.836240,3.798332,3.828658,3.828658,119100
2013-10-16,3.858984,4.116755,3.858984,4.048522,4.048522,537600
2013-10-17,4.048522,4.116755,3.942381,4.010614,4.010614,281000
2013-10-18,4.056103,4.291130,4.048522,4.169826,4.169826,558800
2013-10-21,4.283548,4.495830,4.215315,4.397271,4.397271,763300
2013-10-22,4.397271,4.510993,4.291130,4.366945,4.366945,217800
2013-10-23,4.336618,4.473086,4.321455,4.435178,4.435178,149500
2013-10-24,4.465504,4.473086,4.382108,4.412434,4.412434,144000
2013-10-25,4.647460,4.647460,4.268385,4.321455,4.321455,134600
2013-10-28,4.336618,4.420015,4.291130,4.389689,4.389689,123800
2013-10-29,4.412434,4.473086,4.351782,4.389689,4.389689,224400
2013-10-30,4.404852,4.442760,4.268385,4.344200,4.344200,388400
2013-10-31,4.245641,4.503412,4.245641,4.435178,4.435178,270300
2013-11-01,4.374526,4.541319,4.147081,4.207733,4.207733,459600
2013-11-04,4.650000,4.750000,4.400000,4.420000,4.420000,592900
2013-11-05,4.400000,4.450000,4.100000,4.360000,4.360000,288700
2013-11-06,4.370000,4.370000,4.070000,4.150000,4.150000,304500
2013-11-07,4.140000,4.190000,4.060000,4.150000,4.150000,225400
2013-11-08,4.140000,4.320000,4.140000,4.300000,4.300000,116100
2013-11-11,4.280000,4.370000,4.040000,4.310000,4.310000,128900
2013-11-12,4.310000,4.320000,4.190000,4.260000,4.260000,99900
2013-11-13,4.250000,4.270000,4.150000,4.230000,4.230000,190900
2013-11-14,4.210000,4.230000,4.150000,4.220000,4.220000,119900
2013-11-15,4.210000,4.260000,4.170000,4.240000,4.240000,90400
2013-11-18,4.260000,4.330000,4.190000,4.240000,4.240000,113100
2013-11-19,4.240000,4.290000,4.160000,4.170000,4.170000,92500
2013-11-20,4.170000,4.280000,4.120000,4.170000,4.170000,78000
2013-11-21,4.200000,4.350000,4.180000,4.320000,4.320000,99800
2013-11-22,4.340000,4.400000,4.290000,4.340000,4.340000,81100
2013-11-25,4.360000,4.390000,4.300000,4.310000,4.310000,124300
2013-11-26,4.400000,4.640000,4.370000,4.470000,4.470000,392900
2013-11-27,4.490000,4.550000,4.400000,4.500000,4.500000,110600
2013-11-29,4.530000,4.650000,4.530000,4.560000,4.560000,62700
2013-12-02,4.540000,4.600000,4.390000,4.410000,4.410000,86000
2013-12-03,4.400000,4.500000,4.340000,4.420000,4.420000,102200
2013-12-04,4.410000,4.650000,4.380000,4.570000,4.570000,223400
2013-12-05,4.580000,4.930000,4.510000,4.680000,4.680000,234900
2013-12-06,4.740000,4.820000,4.580000,4.680000,4.680000,121200
2013-12-09,4.700000,4.700000,4.480000,4.610000,4.610000,202100
2013-12-10,4.610000,4.630000,4.580000,4.600000,4.600000,110200
2013-12-11,4.590000,4.640000,4.550000,4.610000,4.610000,107500
2013-12-12,4.630000,4.700000,4.570000,4.670000,4.670000,95900
2013-12-13,4.650000,4.750000,4.650000,4.700000,4.700000,60400
2013-12-16,4.700000,4.800000,4.650000,4.750000,4.750000,94100
2013-12-17,4.780000,4.860000,4.680000,4.760000,4.760000,122900
2013-12-18,4.750000,4.860000,4.740000,4.830000,4.830000,57900
2013-12-19,4.810000,4.840000,4.790000,4.800000,4.800000,53100
2013-12-20,4.830000,5.150000,4.810000,5.070000,5.070000,232600
2013-12-23,5.110000,5.150000,5.040000,5.060000,5.060000,148900
2013-12-24,5.020000,5.090000,5.000000,5.060000,5.060000,41900
2013-12-26,5.090000,5.120000,4.990000,5.030000,5.030000,168500
2013-12-27,5.060000,5.060000,4.890000,4.900000,4.900000,95200
2013-12-30,4.870000,4.940000,4.640000,4.690000,4.690000,123500
2013-12-31,4.690000,4.760000,4.590000,4.700000,4.700000,64100
2014-01-02,4.660000,4.840000,4.540000,4.750000,4.750000,105800
2014-01-03,4.740000,4.800000,4.620000,4.650000,4.650000,80500
2014-01-06,4.680000,4.690000,4.560000,4.600000,4.600000,105000
2014-01-07,4.600000,4.680000,4.540000,4.630000,4.630000,71800
2014-01-08,4.680000,4.680000,4.470000,4.580000,4.580000,128500
2014-01-09,4.610000,4.660000,4.550000,4.630000,4.630000,37200
2014-01-10,4.660000,4.700000,4.600000,4.640000,4.640000,35300
2014-01-13,4.610000,4.650000,4.500000,4.560000,4.560000,60900
2014-01-14,4.600000,4.600000,4.520000,4.550000,4.550000,49400
2014-01-15,4.550000,4.590000,4.530000,4.550000,4.550000,75900
2014-01-16,4.550000,4.730000,4.510000,4.670000,4.670000,88900
2014-01-17,4.680000,4.720000,4.610000,4.650000,4.650000,81000
2014-01-21,4.700000,4.770000,4.620000,4.650000,4.650000,53800
2014-01-22,4.630000,4.650000,4.510000,4.520000,4.520000,61200
2014-01-23,4.500000,4.590000,4.480000,4.570000,4.570000,86700
2014-01-24,4.520000,4.520000,4.400000,4.450000,4.450000,74000
2014-01-27,4.420000,4.580000,4.380000,4.420000,4.420000,99000
2014-01-28,4.410000,4.520000,4.300000,4.500000,4.500000,103200
2014-01-29,4.440000,4.540000,4.390000,4.460000,4.460000,67800
2014-01-30,4.480000,4.640000,4.450000,4.520000,4.520000,47400
2014-01-31,4.430000,4.530000,4.390000,4.420000,4.420000,55200
2014-02-03,4.390000,4.400000,4.190000,4.200000,4.200000,134700
2014-02-04,4.200000,4.300000,4.100000,4.140000,4.140000,99500
2014-02-05,4.100000,4.180000,4.070000,4.100000,4.100000,78200
2014-02-06,4.080000,4.220000,4.080000,4.220000,4.220000,64400
2014-02-07,4.210000,4.320000,4.150000,4.280000,4.280000,71900
2014-02-10,4.260000,4.460000,4.180000,4.410000,4.410000,116700
2014-02-11,4.390000,4.560000,4.380000,4.480000,4.480000,88900
2014-02-12,4.470000,4.570000,4.220000,4.250000,4.250000,80400
2014-02-13,4.250000,4.350000,4.230000,4.300000,4.300000,48800
2014-02-14,4.300000,4.320000,4.190000,4.230000,4.230000,61400
2014-02-18,4.230000,4.570000,4.230000,4.430000,4.430000,104100
2014-02-19,4.400000,4.550000,4.350000,4.380000,4.380000,76500
2014-02-20,4.400000,4.530000,4.360000,4.490000,4.490000,54200
2014-02-21,4.520000,4.520000,4.350000,4.360000,4.360000,70300
2014-02-24,4.390000,4.480000,4.390000,4.410000,4.410000,33100
2014-02-25,4.400000,4.650000,4.300000,4.610000,4.610000,83200
2014-02-26,4.640000,4.780000,4.540000,4.730000,4.730000,149200
2014-02-27,4.700000,4.860000,4.410000,4.790000,4.790000,89900
2014-02-28,4.830000,4.910000,4.730000,4.880000,4.880000,157900
2014-03-03,4.780000,5.010000,4.440000,4.480000,4.480000,816300
2014-03-04,4.550000,4.770000,4.510000,4.690000,4.690000,166400
2014-03-05,4.660000,4.740000,4.540000,4.670000,4.670000,115400
2014-03-06,4.700000,4.710000,4.540000,4.550000,4.550000,133100
2014-03-07,4.590000,4.650000,4.500000,4.580000,4.580000,104800
2014-03-10,4.590000,4.660000,4.480000,4.610000,4.610000,139900
2014-03-11,4.640000,4.650000,4.540000,4.580000,4.580000,74600
2014-03-12,4.570000,4.590000,4.510000,4.560000,4.560000,105100
2014-03-13,4.550000,4.590000,4.430000,4.480000,4.480000,99200
2014-03-14,4.450000,4.640000,4.430000,4.620000,4.620000,124400
2014-03-17,4.630000,5.000000,4.630000,4.730000,4.730000,169600
2014-03-18,4.760000,4.790000,4.630000,4.760000,4.760000,80400
2014-03-19,4.740000,4.780000,4.660000,4.740000,4.740000,60600
2014-03-20,4.710000,4.720000,4.580000,4.660000,4.660000,56300
2014-03-21,4.700000,4.880000,4.560000,4.840000,4.840000,223100
2014-03-24,4.860000,4.920000,4.680000,4.810000,4.810000,73700
2014-03-25,4.810000,4.920000,4.730000,4.770000,4.770000,85300
2014-03-26,4.800000,4.800000,4.640000,4.650000,4.650000,116700
2014-03-27,4.650000,4.730000,4.600000,4.710000,4.710000,177100
2014-03-28,4.700000,4.810000,4.660000,4.730000,4.730000,177300
2014-03-31,4.750000,4.890000,4.690000,4.740000,4.740000,217500
2014-04-01,4.760000,4.870000,4.690000,4.740000,4.740000,125000
2014-04-02,4.750000,4.780000,4.600000,4.640000,4.640000,126800
2014-04-03,4.660000,4.660000,4.550000,4.580000,4.580000,127900
2014-04-04,4.580000,4.620000,4.350000,4.400000,4.400000,130600
2014-04-07,4.370000,4.480000,4.320000,4.440000,4.440000,108400
2014-04-08,4.450000,4.530000,4.390000,4.460000,4.460000,146700
2014-04-09,4.470000,4.520000,4.430000,4.520000,4.520000,97000
2014-04-10,4.500000,4.520000,4.300000,4.420000,4.420000,197100
2014-04-11,4.360000,4.420000,4.300000,4.330000,4.330000,125700
2014-04-14,4.390000,4.500000,4.300000,4.420000,4.420000,153800
2014-04-15,4.450000,4.450000,4.250000,4.420000,4.420000,142300
2014-04-16,4.440000,4.530000,4.350000,4.480000,4.480000,114700
2014-04-17,4.450000,4.460000,4.310000,4.330000,4.330000,95900
2014-04-21,4.330000,4.490000,4.330000,4.370000,4.370000,76400
2014-04-22,4.360000,4.570000,4.340000,4.550000,4.550000,81700
2014-04-23,4.520000,4.540000,4.420000,4.490000,4.490000,94000
2014-04-24,4.500000,4.570000,4.390000,4.460000,4.460000,95200
2014-04-25,4.420000,4.520000,4.390000,4.430000,4.430000,118800
2014-04-28,4.440000,4.520000,4.380000,4.440000,4.440000,80500
2014-04-29,4.480000,4.480000,4.260000,4.280000,4.280000,67700
2014-04-30,4.280000,4.320000,4.180000,4.220000,4.220000,158300
2014-05-01,4.240000,4.240000,4.000000,4.070000,4.070000,211200
2014-05-02,4.100000,4.200000,4.070000,4.170000,4.170000,104800
2014-05-05,4.150000,4.180000,4.050000,4.160000,4.160000,76000
2014-05-06,4.120000,4.260000,4.110000,4.160000,4.160000,101900
2014-05-07,4.180000,4.180000,4.050000,4.120000,4.120000,129100
2014-05-08,4.140000,4.170000,4.070000,4.090000,4.090000,85900
2014-05-09,4.090000,4.250000,4.070000,4.160000,4.160000,61900
2014-05-12,4.200000,4.390000,4.200000,4.340000,4.340000,95900
2014-05-13,4.320000,4.320000,4.250000,4.280000,4.280000,92900
2014-05-14,4.290000,4.290000,4.110000,4.140000,4.140000,124400
2014-05-15,4.160000,4.210000,4.070000,4.100000,4.100000,175900
2014-05-16,4.080000,4.100000,4.000000,4.080000,4.080000,91700
2014-05-19,4.040000,4.110000,4.020000,4.030000,4.030000,117800
2014-05-20,4.040000,4.120000,4.010000,4.080000,4.080000,140800
2014-05-21,4.080000,4.130000,4.030000,4.040000,4.040000,122100
2014-05-22,4.070000,4.280000,4.070000,4.110000,4.110000,114200
2014-05-23,4.130000,4.180000,4.060000,4.180000,4.180000,36100
2014-05-27,4.200000,4.290000,4.130000,4.230000,4.230000,61400
2014-05-28,4.210000,4.260000,4.130000,4.220000,4.220000,54200
2014-05-29,4.230000,4.310000,4.220000,4.220000,4.220000,62100
2014-05-30,4.240000,4.260000,4.080000,4.120000,4.120000,76200
2014-06-02,4.110000,4.170000,4.020000,4.100000,4.100000,82100
2014-06-03,4.060000,4.070000,3.960000,4.010000,4.010000,101900
2014-06-04,4.010000,4.110000,4.010000,4.030000,4.030000,68500
2014-06-05,4.040000,4.110000,3.980000,4.040000,4.040000,89500
2014-06-06,4.080000,4.080000,4.030000,4.050000,4.050000,67600
2014-06-09,4.050000,4.220000,4.050000,4.150000,4.150000,72200
2014-06-10,4.120000,4.180000,4.080000,4.110000,4.110000,129800
2014-06-11,4.120000,4.200000,4.070000,4.130000,4.130000,197800
2014-06-12,4.110000,4.140000,4.000000,4.020000,4.020000,98800
2014-06-13,4.020000,4.030000,3.860000,3.860000,3.860000,141800
